ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
157	"Babkoff, H., Genser, S., & Hegge, F. W. (1985). Lexical decision, parafoveal
 eccentricity and visual hemifield. Cortex, 21(4), 581-593."		1985					0	An afterthought and not given much thought		ME	Simon effect is treated as an afterthought	0	no Simon task		HL		0	No Simon task
158	"van de Vijver, I., Ridderinkhof, K. R., & de Wit, S. (2015). Age-related changes in
 deterministic learning from positive versus negative performance feedback. Aging, Neuropsychology, and Cognition, 22(5), 595-619."		2015					0	Does not discuss Simon effect		ME	Does not discuss Simon effect	0	no Simon task		HL		0	No Simon task
159	"Valle-Inclán, F., Hackley, S. A., & De Labra, C. (2003). Stimulus-response 
 compatibility between stimulated eye and response location: implications for attentional accounts of the Simon effect. Psychological Research, 67(4), 240-243."	Stimulus-response compatibility between stimulated eye and response location: implications for attentional accounts of the Simon effect.	2003	Valle-Inclán, F., Hackley, S. A., & De Labra, C.	https://doi.org/10.1007/s00426-003-0131-z	The experimental room was in complete darkness except for the light coming from the monitor (NEC Multisync, 15-inch with a refresh rate of 70 Hz) placed 50 cm in front of the subjects. Subjects viewed the monitor through a mirror stereoscope (Geoscope Ltd, see Fig. 1). Two outline squares (8×8 dgv, .1 cd/m2) were continuously presented to promote fusion. The target stimuli were red and blue gaussian patches (radius=2 dgv, .4 cd/m2) presented in the center of the fusion squares. The background was black (.004 cd/m2). We used gaussians to minimize possible geometrical distortions produced by the monitor and mirrors that might serve as cues for the eye-of-origin. The stimuli were presented in two pulses of 14 ms each (one refresh rate of the monitor), separated by 100 ms. The reason for this pulsed presentation was to increase the chances of generating an eye-specific given that transient stimulation enhances utrocular discrimination (Martens et al., 1981). The subjects reacted by pressing one of two keys with their right index or middle finger. The experiment comprised a Simon task and an utrocular discrimination task that were identical except for the instructions. In the Simon task, subjects reacted to the color and the assignment of colors to left and right keys was counterbalanced across subjects. In the utrocular discrimination task, subjects reacted to the stimulated eye by pressing the left key for the left eye and the right key for the right eye. There was no feedback in either of the tasks. Each task consisted in six blocks of 20 trials each, with 30-s rests in between blocks. The intertrial interval varied randomly between 2,000 and 3,500 ms. All subjects performed the Simon task first.	yes	1			ME		1			LD_HP		1	
160	"Freundlieb, M., Sebanz, N., & Kovács, Á. M. (2017). Out of your sight, out of my 
 mind: Knowledge about another person’s visual access modulates spontaneous visuospatial perspective-taking. Journal of experimental psychology: human perception and performance, 43(6), 1065."	Out of your sight, out of my mind: Knowledge about another person’s visual access modulates spontaneous visuospatial perspective-taking	2017	Freundlieb, M., Sebanz, N., & Kovács, Á. M.	10.1037/xhp0000379	"For the participant as well as for the confederate, who was oriented in a 90° angle to the participant, viewing distance was approximately 70 cm. Throughout the entire study, the same young man acted as the confederate. Each trial started with the presentation of a fixation cross (subtending 0.66° of visual angle, presented in the center of the screen) for 350 ms. Subsequently, the screen turned blank for 100 ms after which, randomly, one of the two stimuli (top black disk vs. bottom black disk) was shown for 1200 ms. Participants performed two conditions (blindfolded and seeing) with two blocks (compatible and incompatible) each. Each block contained 100 trials and participants were asked to respond as fast and accurately as possible. To establish different compatibility relations, we varied the sitting position of the confederate and the stimulus–response mapping of the participants. In one half of the experiment, participants were instructed to respond to the appearance of the top black disk by pressing the right button on the button box with their right index finger and to respond to the bottom black disk by pressing the left button with
 their left index finger, respectively. In the other half, the mapping was reversed and they were thus instructed to respond to the appearance of the top black disk with a left and to the appearance of the bottom black disk with a right button press. In the compatible condition, the mapping of the participant concurred with the spatial orientation of the confederate, but in the incompatible condition, it did not. For instance, if the confederate sat 90° to the left of the participant, participants were instructed with the “upleft, down-right” mapping in the compatible, and with the “upright, down-left” mapping in the incompatible block (see Figure 1A). The task of the confederate changed throughout the experiment, which was crucial. During the seeing condition, the confederate was asked to flap the shutters of his goggles up and respond to the visual stimuli on the screen. Specifically, the confederate was instructed to respond with a left button press if a black disk appeared—from his point of view— on the left side of the screen, and with a right button press if a black disk appeared on the right side of the screen. In the other half of the trials (i.e., during the
 blindfolded condition), the confederate was given a pair of headphones and was asked to flap the shutters of his goggles down to respond to auditory stimuli. He was instructed to respond to a high tone with a “right” and to a low tone with a “left” button press on the button box. The high and low tones appeared at the same time as the visual stimuli, but could only be heard through the headphones. To ensure that the confederate performed the same actions in the two conditions, the high tone always appeared together with the up stimulus, whereas the low tone appeared together with the down stimulus. Before the blindfolded condition started, a short practice block was conducted, during which the participant and the confederate switched tasks. This practice block was conducted to familiarize participants with the task involving the goggles. Hence, for the duration of the practice block, the experimenter asked the participants to sit where the confederate would sit later on (and vice versa). The instructions that were given (both for the auditory and for the visual task) during this practice block were identical to the instructions given during the experimental condition. After 10 practice trials, the practice block was over and both the participant and the confederate were instructed to swap places, so that for the experimental trials, the participant always performed the visual SRC task while the confederate consecutively performed the auditory task in addition to the visual SRC task. It is important to note, participants could not hear the tones to which the confederate responded when he was performing the auditory task. Before each block, 10 practice trials familiarized the participants with the task. These were later excluded from the statistical analysis. The order of conditions (blindfolded vs. seeing), the position of the confederate (90° to the left vs. to the right of the participant), as well as the order of mappings (compatible vs. incompatible) was counterbalanced across participants."	yes	0	Joint Simon task		ME		0	no classical Simon task		HL		0	Joint Simon task
161	"Lewandowski, N., & Jilka, M. (2019). Phonetic convergence, language talent, 
 personality and attention. Frontiers in Communication, 4, 18."		2019					0	Simon effect not given much attention		ME	Not enough information on Simon effect and is an afterthought	0			LS_LW		0	No RT data
162	"Elekes, F., Bródy, G., Halász, E., & Király, I. (2016). Enhanced encoding of the 
 co-actor's target stimuli during a shared non-motor task. Quarterly Journal of Experimental Psychology, 69(12), 2376-2389."		2016					0	Does not focus on Simon task		ME	Does not focus on Simon task but uses a motor categorisation	0			LS_LW		0	No Simon task
163	"Kirtay, M., Wudarczyk, O. A., Pischedda, D., Kuhlen, A. K., Rahman, R. A., 
 Haynes, J. D., & Hafner, V. V. (2020, October). Modeling robot co-representation: state-of-the-art, open issues, and predictive learning as a possible framework. In 2020 Joint IEEE 10th International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob) (pp. 1-8). IEEE."		2020					0	This is a conference paper/book and no access		ME	This is a conference paper/book and no access	0			LS_LW		0	No humans
164	"Ragot, R., & Remond, A. (1979). Event related scalp potentials during a bimanual
 choice RT task: Topography and interhemispheric relations. In Human Evoked Potentials (pp. 303-316). Springer, Boston, MA."		1979					0	Book		ME	This is a book	0			LS_LW		0	Book chapter without empirical data
165	"Atas, A., & Cleeremans, A. (2015). The temporal dynamic of automatic 
 inhibition of irrelevant actions. Journal of Experimental Psychology: Human Perception and Performance, 41(2), 289."		2015					0	Does not use a Simon task but does discuss it		ME	This does not use a Simon task but does discuss it.	0			LS_LW		0	No Simon task
166	"Sebanz, N., Knoblich, G., Stumpf, L., & Prinz, W. (2005). Far from action-blind: 
 Representation of others' actions in individuals with autism. Cognitive Neuropsychology, 22(3-4), 433-454."		2005					0	Focuses on autistic children		ME	Focuses on individuals with autism	0	clinical sample		LD_HP		0	No healthy young adults
167	"Müsseler, J., Wühr, P., Danielmeier, C., & Zysset, S. (2005). Action-induced
 blindness with lateralized stimuli and responses. Experimental Brain Research, 160(2), 214-222."		2005					0	Does not test Simon task		ME	Does not test Simon task	0	no simon task		LD_HP		0	No Simon task
168	"Stocco, A., Yamasaki, B. L., & Prat, C. S. (2018). Human performance across
 decision making, selective attention, and working memory tasks: Experimental data and computer simulations. Data in brief, 17, 907-914."	Human performance across decision making, selective attention, and working memory tasks: Experimental data and computer simulations.	2018	Stocco, A., Yamasaki, B. L., & Prat, C. S.	https://doi.org/10.1016/j.dib.2018.01.056	The “Simon” sub-folder contains the data from the Simon task [3], [6], a response interference task used to collect individual measures of cognitive control. During the task, participants were presented with one of two shapes, either a black square or a black circle, on a white background. Participants were instructed to respond to one shape (e.g., squares) with their right hand, and to the other shape (e.g., circles) with their left hand. Each trial was introduced by an 800 ms fixation, followed by a 250 ms time delay, followed by a stimulus (circle or square) that remains on the screen for either 3000 ms or until a response was recorded. Trials were either congruent (e.g., a stimulus associated with a left response and presented on the left half of the screen) or incongruent (e.g., a stimulus associated with a left response and presented on the right half of the screen), with congruent trials making up 75% of the total count. The task consisted of 64 trials divided into 4 blocks of 16 trials each.	reported for accuracy, not RT	1	This is a data in brief file and must be read with row 63	yes in this article	ME	article links to the dataset, which is reported elsewhere	1			LS_LW		0	duplicates 150
169	"Waldmann, M. R., & Mayrhofer, R. (2016). Hybrid causal representations. In 
 Psychology of Learning and Motivation (Vol. 65, pp. 85-127). Academic Press."		2016					0	No Simon task		HL		0	no Simon study		EB		0	No Simon task
170	"Hasbroucq, T., Possamaï, C. A., Bonnet, M., & Vidal, F. (1999). Effect of the 
 irrelevant location of the response signal on choice reaction time: an electromyographic study in humans. Psychophysiology, 36(4), 522-526."	Effect of the irrelevant location of the response signal on choice reaction time: an electromyographic study in humans.	1999	Hasbroucq, T., Possamaï, C. A., Bonnet, M., & Vidal, F.	10.1017/s0048577299001602	"Seated in a dentist chair, the subject faced a black plastic board onwhich the stimuli were presented. The distance between this screenand the subject’s eyes was 1 m. A yellow light-emitting diode~LED! fixed at the center of the screen served as fixation. Thestimuli were delivered by three bicolor ~red0green! LEDs locatedat the vertices of an equilateral triangle, the center of which wasthe fixation LED. The upper vertex of the triangle was directlyabove the fixation and the two lower vertices were arranged alongan horizontal line slightly below the fixation. The distance betweenthe bicolor LEDs was 4.6 cm. Two plastic cylinders ~3cmindiameter, 7.5 cm in height! fixed 20 cm apart on a pull-out tableserved as handgrips. A force sensor was glued at the top of eachhandgrip. The subject kept the distal phalanx of the left thumb onthe left sensor and the distal phalanx of the right thumb on the rightsensor. The response was an isometric press of about 1 kg on oneof the two sensors according to the color of the stimulus. When theupper-middle LED was lit, the stimulus–response association wasneutral; when one of the lower-lateral LEDs was lit, the associationwas either congruent or incongruent, depending on whether therequired response was on the same side or on the opposite side asthe signal.Design and ProcedureA trial started with the illumination of the fixation. One secondlater, a bicolor LED was illuminated either in red or in green.According to the color of this signal, the subject was to press oneither the left or the right force sensor, as quickly as possible. Theresponse extinguished both the fixation and the stimulus LEDs.The next trial started 500 ms after the response criterion wasreached. The trials were presented in blocks of 72 in a pseudoran-dom order such that all stimuli were equifrequent. Between eachblock, the subject was given a few minutes rest.The experiment comprised two training sessions ~5 blocks oftrials each! and an experimental session ~10 blocks!. The EMGactivity was recorded during the experimental session only. Theassignment of the left and right force sensors to a color light wasbalanced across subjects"	reported for accuracy, not RT	0	too small sample (n=12)		ME		0	no SDs		LD_HP		0	No RT data
171	"O'Leary, M. J., Barber, P. J., & Simone, J. R. (1994). Does stimulus 
 correspondence account for the Simon effect? Comments on Hasbroucq and Guiard (1991). Psychological research, 56(3), 203-209."		1994					0	Commentary		ME	A commentary and does not conduct experiments	0			LS_LW		0	No RT data
172	"Aisenberg, D., & Henik, A. (2012). Stop being neutral: Simon takes control!.
 Quarterly Journal of Experimental Psychology, 65(2), 295-304."	Stop being neutral: Simon takes control!.	2012	Aisenberg, D., & Henik, A.	https://doi.org/10.1080/17470218.2010.507819	"Experiment 1 : : Stimuli Each stimulus was a red or blue patch displayed on the left or right central horizontal meridian of the screen. Consequently, there were 2 different incongruent stimuli (when the patch appeared on the side opposite to the required key-press) and 2 different congruent stimuli (when the patch appeared on the side corresponding to the required key-press). Each one of the 4 stimuli conditions appeared 20 times in the experimental blocks (i.e., 80 stimuli in each experimental block). A practice block consisting of 16 trials preceded experimental blocks. Procedure Data collection and stimulus presentation were controlled by a Compaq computer with an Intel Pentium III central processor. Stimuli were presented on a Compaq S510 monitor. A keyboard was placed on a table between the participant and the monitor. Coloured stickers were placed on the keyboard keys according to the colours they represented, in a balanced layout. For half of the participants the “D” key represented red, and the “L” key represented blue, and for the other half of the participants the “D” key represented blue, and the “L” key represented red. The participants pressed the “D” key with their left index finger and the “L” key with their right index finger.
 At the beginning of the experiment, participants performed the Ishihara Colour Blindness Test to insure the correctness of their colour vision. They were then instructed to perform a Simon task. Participants were asked to respond as quickly as possible without making mistakes. They sat approximately 60 cm from the computer screen. Participants practised on 16 Simon trials. Each trial started with the appearance of a blank white screen for 500 ms, followed by a 500-ms fixation point—a black plus sign at the centre of the white screen. After the fixation point disappeared, the stimulus appeared at either the right or the left of the central vertical meridian of the screen and remained in view until the participant responded or 3,500 ms elapsed. For incorrect trials, a 1,000-ms feedback message with the word “error” appeared before the next trial began. RT in milliseconds was measured by the computer from stimulus onset until the participant's response. After performing the practice trials, participants performed two experimental blocks of the Simon task with trials identical to those of the practice block. EXPERIMENT 2: Stimuli Congruent and incongruent stimuli were identical to those used in Experiment 1. There were two types of neutral conditions that were presented in two different blocks. Since there were two congruent condition trials and two incongruent condition trials, four neutral condition trials were presented in each block. In one block the central neutral was presented four times (twice in red and twice in blue). In the second block the vertical neutral was presented once for each combination of colours (red on top, blue on top, red at the bottom, and blue at the bottom). Overall there were 80 trials in each experimental block (2 incongruent, 2 congruent and 4 neutral, each presented 10 times). Two 16-trial practice blocks were performed, each one consisting of the relevant type of neutral for the subsequent experimental block. Procedure The procedure of Experiment 2 was identical to that of Experiment 1 except for the Simon task sequence. Before each experiment block participants performed a practice block, which consisted of the relevant type of neutral for the upcoming block. The conditions were balanced, both for colour–key pressing and for block order (a quarter of the participants performed the central neutral type trials first where red patches were responded to by a right-hand finger press, a quarter performed the central neutral type trials first where blue patches were responded to by a right-hand finger press, etc.)."	not reported	1			ME		1			LS_LW		1	
173	"Ruys, K. I., & Aarts, H. (2010). When competition merges people's behavior: 
 Interdependency activates shared action representations. Journal of Experimental Social Psychology, 46(6), 1130-1133."		2010					0	Uses auditory Simon task		ME	An auditory Simon task	0			LS_LW		0	Auditory Simon task
174	"Braun, C. M., Sapinleduc, A. N. N. I. E., Picard, C., Bonnenfant, E., Achim,
 A. N. D. R. É., & Daigneault, S. (1994). Zaidel? s model of interhemispheric dynamics: Empirical tests, a critical appraisal, and a proposed revision. Brain and cognition, 24(1), 57-86."		1994					0	Does not use Simon task		ME	This does not use the Simon task	0			LS_LW		0	No Simon task
175	"Bradshaw, J. L. (1990). Methods for studying human laterality. In 
 Neuropsychology (pp. 225-280). Humana Press, Totowa, NJ."		1990					0	A book and I have no access		ME	This is a book	0			LS_LW		0	Book chapter without empirical data
176	"Zhang, J., & Kornblum, S. (1997). Distributional analysis and De Jong, Liang, and 
 Lauber's (1994) dual-process model of the Simon effect. Journal of Experimental Psychology: Human Perception and Performance, 23(5), 1543."		1997					0	Review paper		ME	This is a review paper	0	Review/reanalysis		LD_HP	It does include RTs and SDs from previous studies. 	0	Review
177	"Cotton, B., Tzeng, O. J., & Hardyck, C. (1977). A response instruction by 
 visual-field interaction: SR compatibility effect or?. Bulletin of the Psychonomic Society, 10(6), 475-477."	A response instruction by visual-field interaction: SR compatibility effect or?.	1977	Cotton, B., Tzeng, O. J., & Hardyck, C.	https://doi.org/10.3758/BF03337702	"Four diffuse red light-emitting diodes (LEOs) subtending a visual angle of about 8 min were mounted in a Scientific Prototype tachistoscope. The LEOs were 1.5 deg to the left or right and 1 deg above or below a fIXation point (see Figure 1). The fIXation point consisted of a red point source
 LED subtending a visual angle of about 2 min. Subjects responded to the stimulus display by depressing one of two telegraph keys % in. to the left or right of a key upon which the subject centered his or her forefmger. The center key also served as a start key. Interval timing was achieved with Scientific Prototype and Lafayette interval generators. Response times were recorded on a Hunter Klockounter (Model 22OC). Procedure. Each trial began with the sounding of a tone by the experimenter, indicating that the subject might initiate a trial by depressing the start key which produced a fIXation point lasting for 1 sec. A stimulus LED was then presented for 2 sec, 100 msec after the offset of the fIXation point. The subject was instructed to indicate as quickly as possible whether the stimulus light occurred above or below the fixation point by depressing the response key to the left or right of the start key with the forefinger of a specified hand. After recording the response time, the experimenter sounded the tone to initiate the next trial. Trials were delivered in two blocks, each consisting of 16 warmup and 48 experimental trials. Thus, 12 trials were presented at each of the four stimulus locations for each block. Subjects used either the left Of right hand in the fust block and the opposite hand in the second block. Order of hand use was randomized across subjects. Half of the subjects were instructed to press the right response key if a stimulus onset occurred above the fIXation point and to press the left key if an onset occurred below the fIXation point. The remaining subjects were given the opposite instructions, that is, to press the left key if a stimulus was presented above the fIXation point, etc."	no	0	"not a classic simon task design; RTs and accuracy not reported"		CK		0	Vertical presentation, no SD reported		LS_LW		0	Vertical task
178	"Vosniadou, S., Kayser, D., & Protopapas, A. (Eds.). (2017). Proceedings of the
 European Cognitive Science Conference 2007. Taylor & Francis."		2017					0	Unable to access it		ME	This is a book	0			LS_LW		0	Book chapter without empirical data
179	"Zorzi, M., & Umiltá, C. (1995). A computational model of the Simon effect. 
 Psychological Research, 58(3), 193-205."		1995					0	Focues on computational simulation		ME	This focuses on computational simulations, as opposed to experimental studies	0			LS_LW		0	No RT data
180	"Leuthold, H. (2011). The Simon effect in cognitive electrophysiology: a short 
 review. Acta psychologica, 136(2), 203-211."		2011					0	review, focusses on electrophysiology		JW		0	review paper		EB		0	Review
181	"Bekkering, H. (2002). Imitation: Common mechanisms in the observation and
 execution of finger and mouth movements. The imitative mind: development evolution and brain bases. Cambridge University Press, New York, 163-182."		2002					0	Book but unavailable to access		ME	THis is a book	0	no access		LD_HP		0	Book chapter without empirical data
182	"Schmand, B. (2019). Why are neuropsychologists so reluctant to embrace
 modern assessment techniques?. The Clinical Neuropsychologist, 33(2), 209-219."		2019					0	a review		ME	This is a review	0			LS_LW		0	Review
183	"Ragot, R., Renault, B., & Remond, A. (1980). Hemispheric involvement during
 a bimanual RT task: P300 and motor potential. In Progress in brain research (Vol. 54, pp. 736-741). Elsevier."		1980					0	Book		ME	THis is a book	0			LS_LW		0	Book chapter without empirical data
184	"Malone, M., Castillo, R. D., Kloos, H., Holden, J. G., & Richardson, M. J. (2014).
 Dynamic structure of joint-action stimulus-response activity. PLoS One, 9(2), e89032."	Dynamic structure of joint-action stimulus-response activity.	2014	Malone, M., Castillo, R. D., Kloos, H., Holden, J. G., & Richardson, M. J.	https://doi.org/10.1371/journal.pone.0089032	"A 19” Dell Flat Panel monitor was used to present stimuli. Stimuli included a blue “X” or red “X” (1? high, ½? wide), displayed on the left or right of the screen (positioned 5½? from the top and bottom of the screen, and 2? from the left or right side of the screen, respectively). Stimulus presentation and data collection were controlled using Direct RT. An Apple keyboard, modified to be millisecond accurate, was used to collect reaction time data. The shift keys were used as response indicators on the keyboard. A red sticker was placed on the right shift key and a blue sticker was placed on the left shift key. The monitor and the keyboard were placed in the center of a desk, with the keyboard 7? from the front of the desk and 8? from the monitor. Participants were seated in chairs that were placed next to each other in front of the keyboard. Each seated participant was positioned approximately 30? from the display screen.
 
 Procedure
 Participants completed a visual go/no-go Simon task in which they were instructed to respond with a key press to a specific color of a stimulus presented on the screen. Participants were assigned only one of the two stimulus colors (e.g., red) and were instructed to respond only to their designated color, regardless of location, while ignoring the alternative color (e.g., blue). Participants completed the task in one of two experimental conditions: a joint condition or an individual condition. For the individual condition, participants performed the task alone. For the joint condition, pairs of participants performed the task together. Similar to the procedure of [6], subjects assigned to the red key sat on the right, and subjects assigned the blue key sat on the left, regardless of condition (see Figure 1). A brief instruction screen was presented on the computer monitor prior to the start of the experiment. Clarifying instructions were administered verbally and an opportunity for questions or clarification was offered. Each trial began with a white crosshair presented for 400 ms in the center of the screen, followed by a blank screen also lasting 400 ms. Stimuli were presented for a maximum time of 1200 ms or until a response was indicated. Irrespective of RT, 400 ms of a blank screen was then presented 1200 ms after the stimulus presentation, followed by the white crosshair indicating the beginning of the next trial. In all conditions, participants completed 1100 trials, preceded by eight practice trials. An equal number of red and blue stimuli on both the left and right sides of the display were presented in a random order over the duration of the experiment."	no	0	This focuses on the social Simon effect		ME	social Simon effect	0			LS_LW		0	Joint Simon task
185	"Cohen, A., & Magen, H. (2004). Hierarchical systems of attention and action.
 In Attention in action (pp. 43-84). Psychology Press."		2004					0	Book chapter and unable to access it		ME	This is a book	0	double: already included in 328		LD_HP		0	Book chapter without empirical data
186	"Davranche, K., Paleresompoulle, D., Pernaud, R., Labarelle, J., & Hasbroucq, T.
 (2009). Decision making in elite white-water athletes paddling on a kayak ergometer. Journal of Sport and Exercise Psychology, 31(4), 554-565."	Decision making in elite white-water athletes paddling on a kayak ergometer	2009	Davranche, K., Paleresompoulle, D., Pernaud, R., Labarelle, J., & Hasbroucq, T.	10.1123/jsep.31.4.554	"Participants sat on a kayak ergometer (Dansprint, Denmark) fully adjustable for a perfect fit. Two green/red light-emitting diodes (LEDs), separated by 10 cm, were positioned at both sides of a black panel placed 1.6 m in front of the participant. Two force sensors, separated by 8 cm, were fixed on the right and the left sides of the footrest. Participants were asked to exert a press with the big toe, as quickly and accurately as possible, on the right or on the left force sensor as soon as one of a LEDs lit up. The light could be green or red and could be delivered either to the left or to the right side. Participants were asked to respond according to the color of the LED (task-relevant attribute), and to ignore the location of the LED (the task-irrelevant attribute). Six participants had to exert a press with the left big toe when the LED was red and a press with the right big toe when the LED was green, the six other participants were to perform the reverse stimulus-response mapping. Each block was self-initiated by a press exerted on one of the two sensors. At the end of each trial, an auditory signal was delivered (1600 Hz, 75 dB, 200 ms) to inform the participant of the recording of the response. The delivery of a response turned off the stimulus and the next trial began. The intertrial interval was 1 s. There were two types of trials in each block: congruent trials (50%) and incongruent trials (50%). In congruent trials (CO), the lateral locations of the
 stimulus and response corresponded (e.g., left stimulus/left response). In contrast, in incongruent trials (IN), the lateral locations of the stimulus and response counter-corresponded (e.g., left stimulus/right response). For a video illustration, see http://karen.davranche.free.fr/Videoprotocol.avi Participants took part in two separate sessions run on different days: a pretest session and an experimental session. The resistance of the rotating fan, chosen to allow an uncontrived paddling movement at a reasonable stroke rate, was maintained constant throughout the experiment (male: 6/10 and female: 4/10). During the pretest session, participants undertook a habituation session on the Simon conflict task, consisting of two blocks of 64 trials each performed at rest and while paddling. This was followed by a continuous incremental protocol until exhaustion on a kayak ergometer to determine the exercise workload of the experimental session. The maximal test began by a 5-min warm-up at 50 W, and then the workload progressively increased until exhaustion (male: 20 W/min and female: 15 W/ min). The baseline heart rate (HRrest) and HRmax recorded during the pretest session are reported in Table 1. During the experimental session, participants were required to perform the cognitive task simultaneously with paddling. A first set of five blocks of 64 trials each was performed while paddling at a very light intensity fixed at 10% (± 2.5%) above HRrest and a second set of 5 blocks of 64 trials each was performed at a moderate intensity. The moderate exercise intensity was obtained using the Karvonen formula (Brooks, Fahey, & White, 1996) for calculating a target heart rate (THR) corresponding to a 60% (±2.5%) intensity (see Table 1 for equivalence in beat per minute and percentage of HRmax). THR = [(HRmax ? HRrest) ? % intensity + HRrest] The order of the sets was counterbalanced across participants and the two sets were separated by a resting period about 15 min. Each set began with a 10-min warm-up, which allowed participants, first and foremost, to individually adjust his or her stroke rate and stroke power to reach the required intensity (% HRmax). Then the five blocks were successively administrated and participants were asked to keep paddling during the transition between blocks (30 s). These “cognitive breaks,” at the end of each block, have been used to adjust the intensity of the effort by keeping the HR close to the THR. The exercise duration of each set, including the warm-up period, was about 24 min."	yes	0	athletes tested, sat on kayak ergometer		JW		0			EB		0	No Simon task
187	"Engelman, W. R., & Green, J. (1985, October). Interactions between 
 Stimulus-Response Compatibility and Task Variables: Unexpected Effects. In Proceedings of the Human Factors Society Annual Meeting (Vol. 29, No. 12, pp. 1130-1134). Sage CA: Los Angeles, CA: SAGE Publications."		1985					0	A book chapter		ME	This is a book chapter	0			LS_LW		0	Book chapter without empirical data
188	"Thomas, N. A., Manning, R., & Saccone, E. J. (2019). Left-handers know 
 what’s left is right: Handedness and object affordance. Plos one, 14(7), e0218988."		2019					0	Discusses Simon effect but does not test it		ME	Simon effect only discussed in discussion	0			LS_LW		0	No Simon task
189	"Anderson, S. J., Yamagishi, N., & Karavia, V. (2002). Attentional processes link 
 perception and action. Proceedings of the Royal Society of London. Series B: Biological Sciences, 269(1497), 1225-1232."		2002					0	Cites Simon effect but not test it		ME	This only cites Simon effect	0	orientation clockwise vs anticlockwise		LD_HP		0	No Simon task
190	"Wühr, P., & Kunde, W. (2006). Spatial correspondence between onsets and
 offsets of stimuli and responses. European Journal of Cognitive Psychology, 18(03), 359-377."		2006	Wühr, P., & Kunde, W.	https://doi.org/10.1080/09541440500334417	"Experiment 1: Twenty volunteers (17 female, 3 male), with a mean age of 25 years (range 19–36 years), participated in a single-session experiment. The experiment lasted about 30 minutes; participants were paid € 5. In this and the following experiments, all participants were naïve with respect to the purpose of the study and classified themselves as having normal (or corrected-to-normal) visual acuity. Experiment 2: Eighteen new volunteers (12 female, 6 male) with a mean age of 25 years (range 19–35 years) participated in a single session. The experiment lasted about 30 minutes, and participants were paid € 5. Experiment 3: Twenty new volunteers (15 female, 5 male) with a mean age of 22 years (range 19–37 years) participated in a single session. The experiment lasted about 30 minutes. Participants were paid € 5.Experiment 4: Fifteen new volunteers (13 female, 2 male) with a mean age of 22 years (range 19–31 years) participated in a single session. The experiment lasted about 30 minutes, and participants were paid € 5."	yes	1			JW		1		yes	EB		1	
191	"Mondor, T. A., & Leboe, L. C. (2008). Stimulus and response repetition effects
 in the detection of sounds: Evidence of obligatory retrieval and use of a prior event. Psychological Research, 72(2), 183-191."		2008					0	Uses auditory stimuli		ME		0			LS_LW		0	Auditory Simon task
192	"Guiard, Y., Hasbroucq, T., & Possamai, C. A. (1994). Stimulus congruity, 
 irrelevant spatial SR correspondence, and display-control arrangement correspondence: A reply to O'Leary, Barber, and Simon (1994). Psychological Research, 56(3), 210-212."		1994					0	Commentary		ME	A commentary, not experiment	0			LS_LW		0	No RT data
193	"Borgstedt, K. (2008). Annäherung und Vermeidung: eine experimentelle
 Analyse emotionaler Handlungstendenzen bei Angst und Überraschung."		2008					0	Not available in English		ME	This is not available in English	0			LS_LW		0	No Simon task
194	"Simon, K. (2017). Untersuchung des Response-Kodierungs-Ansatzes im
 Rahmen des Social-Simon-Effects. Einfluss horizontaler und vertikaler Reiz-Reaktions-Kodierung."		2017					0	Unavailable in English		ME	This is not available in English	0			LS_LW		0	Social Simon task
195	"Filippi, R., D’Souza, D., & Bright, P. (2019). A developmental approach to
 bilingual research: The effects of multi-language experience from early infancy to old age. International Journal of Bilingualism, 23(5), 1195-1207."		2019					0	A commentary, not experiment		ME	A commentary, not experiment	0			LS_LW		0	No RT data
196	"Zurrón, M., Lindín, M., Cespón, J., Cid-Fernández, S., Galdo-Álvarez, S., 
 Ramos-Goicoa, M., & Díaz, F. (2018). Effects of mild cognitive impairment on the event-related brain potential components elicited in executive control tasks. Frontiers in psychology, 9, 842."		2018					0	Is a review on cognitive impairment		ME	Focus on cognitive impairment	0			LS_LW		0	Review
197	"Westwater-Wozniak, M. (2021). Neurobiological and metabolic mechanisms
 of binge-eating in anorexia and bulimia nervosa (Doctoral dissertation, University of Cambridge)."		2021					0	Doctoral dissertation		ME	Focus on Anorexia nervosa and Bulimia nervosa	0	No Simon task		BB_JPR		0	Dissertation
198	"Van Veen, V. (2006). A neuroimaging approach to the relationship between
 attention and speed-accuracy tradeoff (Doctoral dissertation, University of Pittsburgh)."		2006					0	Doctoral dissertation		ME	doctoral dissertation, does not focus on Simon effect	0			LS_LW		0	Dissertation
199	"Dommes, A., Wu, Y. H., Aquino, J. P., Pitti-Ferrandi, H., Soleille, M., 
 Martineau-Fleury, S., ... & Rigaud, A. S. (2015). Is mild dementia related to unsafe street-crossing decisions?. Alzheimer Disease & Associated Disorders, 29(4), 294-300."		2015					0	Mild dementia		ME	Focus on Mild dementia	0			LS_LW		0	No healthy young adults
